id,ime,fakulteta,univerza,predmeti,st_ocen,ocena

0,Bavdek Dušan,Akademija za glasbo,Univerza v Ljubljani,"['Solfeggio', 'Harmonija', 'Kompozicija']",65,4.1

1,Bešlić Halid,Akademija za glasbo,Univerza v Ljubljani,['Solfeggio'],7,4.4

2,Bonin Matej,Akademija za glasbo,Univerza v Ljubljani,[''],2,5.0

3,Cerc Rudolf,Akademija za glasbo,Univerza v Ljubljani,[''],3,2.3

4,Drevenšek Matjaž,Akademija za glasbo,Univerza v Ljubljani,['Saksofon'],1,4.0

5,Drnovšek Tatjana,Akademija za glasbo,Univerza v Ljubljani,[''],5,3.4

6,Florjanc Ivan,Akademija za glasbo,Univerza v Ljubljani,[''],4,5.0

7,Grafenauer Andrej,Akademija za glasbo,Univerza v Ljubljani,['Kitara'],10,4.6

8,Horak Marina,Akademija za glasbo,Univerza v Ljubljani,['Dimenzije izvajanja'],30,3.1

9,Kacjan Aleš,Akademija za glasbo,Univerza v Ljubljani,['Komorna igra'],50,3.7

10,Klavžar Simon,Akademija za glasbo,Univerza v Ljubljani,['Tolkala'],3,5.0

11,Koter Darja,Akademija za glasbo,Univerza v Ljubljani,['Zgodovina glasbe'],53,3.7

12,Kunej Drago,Akademija za glasbo,Univerza v Ljubljani,['Glasbena akustika'],20,2.4

13,Lolovski Lol,Akademija za glasbo,Univerza v Ljubljani,[''],8,4.0

14,Mihajlovič Egon,Akademija za glasbo,Univerza v Ljubljani,['čembalo'],18,3.6

15,Mihelčič Pavel,Akademija za glasbo,Univerza v Ljubljani,[''],15,4.2

16,Mihevc Marko,Akademija za glasbo,Univerza v Ljubljani,['Kompozicija'],34,2.4

17,Misson Andrej,Akademija za glasbo,Univerza v Ljubljani,['Kontrapunkt'],85,3.8

18,Mlejnik Miloš,Akademija za glasbo,Univerza v Ljubljani,[''],6,3.0

19,Perestegi Mario,Akademija za glasbo,Univerza v Ljubljani,"['Orgle', 'Triangel', 'Palčke']",10,2.8

20,Podpečan Alenka,Akademija za glasbo,Univerza v Ljubljani,[''],12,3.7

21,Pompe Urška,Akademija za glasbo,Univerza v Ljubljani,['Solfeggio'],57,3.5

22,Rakar Bernarda,Akademija za glasbo,Univerza v Ljubljani,['Orffov praktikum 1'],47,3.4

23,Robavs Matjaž,Akademija za glasbo,Univerza v Ljubljani,['Petje'],16,2.8

24,Robinson Simon,Akademija za glasbo,Univerza v Ljubljani,['Glasbena literatura'],24,3.7

25,Rojko Uroš,Akademija za glasbo,Univerza v Ljubljani,[''],18,3.2

26,Rotar Pance Branka,Akademija za glasbo,Univerza v Ljubljani,"['Obča glasbena didaktika', 'Specialna glasbena didaktika 1', 'Specialna glasbena didaktika 2', 'Specialna glasbena didaktika 3', 'Specialna glasbena didaktika 4']",33,2.8

27,Rupel Fedja,Akademija za glasbo,Univerza v Ljubljani,['Flavta'],8,2.6

28,Sojar Voglar Črt,Akademija za glasbo,Univerza v Ljubljani,[''],47,3.6

29,Vatovec Marko,Akademija za glasbo,Univerza v Ljubljani,[''],32,2.6

30,Vesel Aleš,Akademija za glasbo,Univerza v Ljubljani,"['Klavir', 'Klavir', 'Klavir']",23,3.4

31,Vidmar Petra,Akademija za glasbo,Univerza v Ljubljani,[''],6,2.8

32,Vrhovnik Sebastjan,Akademija za glasbo,Univerza v Ljubljani,"['Dirigiranje', 'Zbor']",37,4.4

33,Zupan Matej,Akademija za glasbo,Univerza v Ljubljani,[''],28,4.1

34,Šarc Matej,Akademija za glasbo,Univerza v Ljubljani,['Oboa'],19,4.1

35,Šaulić Šaban,Akademija za glasbo,Univerza v Ljubljani,['Petje'],7,4.4

36,Škerjanec Igor,Akademija za glasbo,Univerza v Ljubljani,['Violoncello'],4,4.0

37,Šurbek Milivoj,Akademija za glasbo,Univerza v Ljubljani,['Dirigiranje'],53,2.4

